sample_id,sharedConfounder1_bin1,independentConfounder2_cat_norm1,independentConfounder2_cat_norm2,independentConfounder3_cat_unif1,sharedConfounder4_norm1,independentConfounder4_norm1
HG00096,0,2,1,1,-0.421238807197943,0.543018698491341
HG00097,1,1,1,3,0.508478148972334,0.726944562019368
HG00099,0,1,1,1,-0.428223154508588,1.36303441027082
HG00100,0,1,1,1,-0.104826916011509,-1.10876148579987
HG00101,0,1,1,3,0.651174317832663,1.12978421149604
HG00102,0,1,1,1,-0.118080175531542,-0.682595513965461
HG00103,0,3,1,1,-0.702364153501836,-1.46195890069014
HG00105,0,1,1,4,-2.48119123998532,-0.810009866995274
HG00106,1,1,1,2,0.823344792574824,0.325702712746812
HG00107,0,1,1,3,1.6734124754307,-1.39192274425207
HG00108,0,3,1,1,-0.779027151309588,-1.58302064282288
HG00109,0,2,1,1,0.240286554042972,1.07238932277672
HG00110,0,2,2,1,0.846678635612204,-3.01044066906004
HG00111,1,1,1,1,0.098341841275303,0.690315838261651
HG00112,0,1,1,1,2.17780203014111,1.59295440949841
HG00113,0,1,1,1,0.7912170538679,0.943824290134224
HG00114,0,1,1,1,-0.213508941224892,-0.0565936300064394
HG00115,0,3,1,4,-0.825685534530315,-1.12141628911209
HG00116,1,3,1,2,1.30544839441308,0.132448303089424
HG00117,0,1,1,2,1.11674142043541,0.392567716029992
HG00118,0,3,3,4,0.797178975943013,-1.39308431697459
HG00119,0,1,1,3,1.12544688312825,-1.7527723572885
HG00120,0,1,1,1,0.212491005589084,0.580290627431939
HG00121,1,1,1,1,-0.53061451740296,-0.717598532861257
HG00122,0,1,1,3,0.227570246643234,0.504803952732944
HG00123,1,1,2,2,-0.452551950939555,1.26537826132903
HG00125,0,2,1,2,-1.40455037401664,-1.03013237107142
HG00126,0,1,1,1,-2.19021573620036,-0.500755517719314
HG00127,0,1,1,2,0.679136436567011,-0.0509262823704477
HG00128,0,2,1,4,-0.95304728621977,0.633488996660334
HG00129,1,1,1,4,0.588391189642332,0.699184072668937
HG00130,0,2,1,2,-1.58450896511987,-0.784260201741152
HG00131,0,1,1,4,1.11091741936742,0.610170405862903
HG00132,0,1,1,4,0.106747870356967,0.32500684639878
HG00133,0,2,1,2,1.27324250293827,0.210722272576746
HG00136,0,1,1,4,0.382572071440354,0.018595330635843
HG00137,0,2,1,4,1.64695982543926,-0.52646076053164
HG00138,0,1,1,2,0.922896122412631,-0.461399459171954
HG00139,0,1,1,1,1.85560276913028,-0.392786982114831
HG00140,1,1,1,4,0.836847698899216,-0.429499966106716
HG00141,0,1,2,2,0.88708262005356,-2.25951591671646
HG00142,0,1,3,2,-0.605543072281422,0.836050061259953
HG00143,0,1,1,3,0.354709859565911,1.11359527640979
HG00145,0,1,1,2,-0.929252925128948,0.884817584942801
HG00146,0,2,2,2,0.427344081747971,0.922975381639203
HG00148,0,1,1,1,0.383987896818956,-0.43526689139144
HG00149,0,1,1,4,-1.61388392053465,0.177115331457596
HG00150,0,2,1,3,-0.512068143359251,0.649927413057414
HG00151,0,1,1,1,1.31789298240334,-1.78773492548556
HG00154,0,3,1,3,-0.833894354348988,-1.0170328491478
HG00155,0,2,1,4,1.16764458054573,-0.0414739800438908
HG00157,0,3,1,3,-0.740434052335031,-0.38029888177173
HG00158,0,1,1,3,-0.381153196850007,-0.481105442791618
HG00159,0,1,1,1,-1.31806509989308,0.652180618266715
HG00160,0,1,3,3,0.298588819737362,-1.18309111526794
HG00171,1,1,1,4,0.604104299638555,0.669606181025476
HG00173,1,1,1,4,-0.966766691959993,2.20273602694572
HG00174,0,1,1,2,-0.607091320202117,0.0690180131596753
